Establishment ID,Establishment Name,Establishment Address,Latitude,Longitude,total_inspections,last_inspection,total_severity,avg_severity,pass_rate,total_infractions,days_since_inspection,quality_score,establishment_type
1222579,SAI-LILA KHAMAN DHOKLA HOUSE,870 MARKHAM RD,43.76798,-79.22903,38,2025-04-29,49.0,1.289,1.0,34,27.0,60.665000000000006,Food Take Out
1222807,PHO BO TO,"1635 LAWRENCE AVE W, Unit-4",43.70463,-79.49224,3,2024-02-09,1.0,0.333,1.0,1,472.0,99.43833333333333,Restaurant
1223056,PIZZA PIZZA,606 BROWNS LINE,43.60531,-79.54729,6,2025-02-05,0.0,0.0,1.0,2,110.0,100.0,Restaurant
9000004,PAPINO'S PIZZA,1788 JANE ST,43.7063,-79.50502,6,2023-04-06,10.0,1.667,1.0,5,781.0,61.12833333333334,Food Take Out
9000031,2-4-1 PIZZA,759 JANE ST,43.67153,-79.49335,13,2024-11-28,16.0,1.231,1.0,11,179.0,69.535,Food Take Out
9000046,2-4-1 PIZZA,"1468 QUEEN ST W, Unit-2",43.64059,-79.43665,10,2024-12-16,7.0,0.7,1.0,8,161.0,83.5,Food Take Out
9000072,TIM HORTONS,"250 BLOOR ST E, Bsmt",43.67203,-79.38093,4,2024-09-17,0.0,0.0,1.0,0,251.0,100.0,Cafeteria - Private Access
9000074,OMNI KING EDWARD -BANQUET KITCHEN,"37 KING ST E, Flr-2",43.64938,-79.3762,8,2025-05-16,4.0,0.5,1.0,4,10.0,94.5,Commissary
9000097,30 UP CLUB,22 DORCHESTER AVE,43.62153,-79.5179,4,2024-06-27,0.0,0.0,1.0,0,333.0,100.0,Private Club
9000107,STUDIO 123 EARLY LEARNING CENTRE,401 RICHMOND ST W,43.64766,-79.39475,5,2025-01-20,0.0,0.0,1.0,0,126.0,100.0,Child Care - Catered
9000116,521 CAFE,521 DANFORTH AVE,43.67804,-79.34821,1,2023-03-23,0.0,0.0,1.0,0,795.0,95.66666666666667,Restaurant
9000122,7 DAY CONVENIENCE,"2480 GERRARD ST E, Unit-5",43.68747,-79.28453,0,,0.0,0.0,1.0,0,,100.0,Food Store (Convenience/Variety)
9000144,7 WEST CAFE,7 CHARLES ST W,43.6685,-79.38669,12,2025-04-15,13.0,1.083,1.0,9,41.0,75.755,Restaurant
