id,name,date,time,venue_name,venue_address,latitude,longitude,category,genre,min_price,max_price,url,image_url,source,description,status
1Av7ZbEGkSFX0lN,2025 Stanley Cup Final Home Game 1: Oilers v. Panthers (Series Game 1),2025-06-04,18:00:00,Rogers Place,"10220 - 104 Avenue, , Edmonton",53.546911,-113.497237,sports,Hockey,,,https://www.ticketmaster.ca/2025-stanley-cup-final-home-game-edmonton-alberta-06-04-2025/event/1100627CC8FA4AE3,https://s1.ticketm.net/dam/a/ddc/20f009c2-2f1f-4b0b-bef6-ae077c98eddc_SOURCE,ticketmaster,"All sales final, no refunds. Rogers Place offers two food-inclusive options for all Oilers games: * The Sportsnet Club features all-inclusive food and non-alcoholic beverages with a rotating menu of enticing fan favourites. Socializing within the club is enhanced by two full-service bars. * The Sky Lounge features a full-service bar, in-seat",onsale
1Av7ZbEGkSFTflt,2025 Stanley Cup Final Home Game 2: Oilers v. Panthers (Series Game 2),2025-06-06,18:00:00,Rogers Place,"10220 - 104 Avenue, , Edmonton",53.546911,-113.497237,sports,Hockey,,,https://www.ticketmaster.ca/2025-stanley-cup-final-home-game-edmonton-alberta-06-06-2025/event/1100627CC8FD4AE9,https://s1.ticketm.net/dam/a/ddc/20f009c2-2f1f-4b0b-bef6-ae077c98eddc_SOURCE,ticketmaster,"All sales final, no refunds. Rogers Place offers two food-inclusive options for all Oilers games: * The Sportsnet Club features all-inclusive food and non-alcoholic beverages with a rotating menu of enticing fan favourites. Socializing within the club is enhanced by two full-service bars. * The Sky Lounge features a full-service bar, in-seat",onsale
1Av7ZbxGkXYGwJf,The Wallflowers,2025-06-06,19:00:00,Midway Music Hall,"6107-104 Street NW, , Edmonton",53.498504,-113.496641,music,Rock,,,https://www.ticketmaster.ca/the-wallflowers-edmonton-alberta-06-06-2025/event/1100622FB0332994,https://s1.ticketm.net/dam/a/d07/191d77fe-a691-426d-a703-c38cba942d07_SOURCE,ticketmaster,,onsale
15v7ZbJp8roFF,HOSS: A Waylon Jennings Experience ,2025-06-07,20:00:00,"The Pearl Showroom, Pure Casino Yellowhead","12464 153 Street, , Edmonton",53.579453,-113.585482,music,Country,,,https://www.ticketmaster.ca/hoss-a-waylon-jennings-experience-edmonton-alberta-06-07-2025/event/1100626590791208,https://s1.ticketm.net/dam/e/904/3c5926cd-9a7a-4b15-9755-56fc62993904_SOURCE,ticketmaster,All your favourite songs from the Ramblin' Man himself. Join us in the Pearl Showroom for dinner & drink service right at your seat!,onsale
1Ae0ZbEGkzbYxGQ,Yellow Claw,2025-06-07,21:00:00,Union Hall,"6240 - 99 Street, , Edmonton",53.498703,-113.487494,music,Other,,,https://www.ticketweb.ca/event/yellow-claw-union-hall-tickets/14338353?REFERRAL_ID=tmfeed,https://s1.ticketm.net/dam/a/79b/b96bf3eb-da02-4a5b-a527-bcffad3ba79b_SOURCE,ticketmaster,,onsale
1AoZkaJGkdAwwfC,GHENGAR,2025-06-07,21:00:00,Midway Music Hall,"6107-104 Street NW, , Edmonton",53.498504,-113.496641,music,Dance/Electronic,,,https://www.ticketmaster.ca/ghengar-edmonton-alberta-06-07-2025/event/11006266C5CB250E,https://s1.ticketm.net/dam/a/01e/382ddf09-faeb-48d1-8aca-77187a4db01e_SOURCE,ticketmaster,,onsale
1AoZka0GkdTFeUx,Three Days Grace & Volbeat,2025-06-10,19:00:00,Rogers Place,"10220 - 104 Avenue, , Edmonton",53.546911,-113.497237,music,Rock,,,https://www.ticketmaster.ca/three-days-grace-volbeat-edmonton-alberta-06-10-2025/event/11006264FF202DA2,https://s1.ticketm.net/dam/a/f90/7cc26f61-a615-4487-9c3b-fe15bfb96f90_SOURCE,ticketmaster,.,onsale
1778vxG61EAgAuG,Lucky Lobster Crawl 2.0,2025-06-13,18:30:00,"The Pearl Showroom, Pure Casino Yellowhead","12464 153 Street, , Edmonton",53.579453,-113.585482,misc,Food & Drink,,,https://www.ticketmaster.ca/lucky-lobster-crawl-20-edmonton-alberta-06-13-2025/event/110062A9C5D4534C,https://s1.ticketm.net/dam/e/6f9/89c2aa95-a51b-4c7d-9098-b6f4837fc6f9_SOURCE,ticketmaster,"Enjoy a meal featuring 1.5lb never frozen Nova Scotia whole lobster w/ roasted baby potatoes, corn on the cob, seasonal steamed vegetables, Caesar salad, garlic toast + dessert for only $59.99 + tax. Live music to follow.",cancelled
1Ae0ZbtGkSgkK2O,Urbandub - Presented By Wam Productions and LT Production,2025-06-13,19:00:00,Union Hall,"6240 - 99 Street, , Edmonton",53.498703,-113.487494,music,World,,,https://www.ticketweb.ca/event/urbandub-presented-by-union-hall-tickets/14410943?REFERRAL_ID=tmfeed,https://s1.ticketm.net/dam/c/548/5fefbd1c-973b-4b0e-9b2e-d78e4ce37548_106111_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,,onsale
1Av7ZbPGkw66vXA,Bed By 10pm,2025-06-14,16:00:00,Midway Music Hall,"6107-104 Street NW, , Edmonton",53.498504,-113.496641,music,Dance/Electronic,,,https://www.ticketmaster.ca/bed-by-10pm-edmonton-alberta-06-14-2025/event/1100625C871C1F85,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,Doors: 4:00 PM Show: 4:00 PM Enter by 5:00 PM,onsale
1Av7ZbEGkSaZflc,2025 Stanley Cup Final Home Game 3: Oilers v. Panthers (If Necessary),2025-06-14,18:00:00,Rogers Place,"10220 - 104 Avenue, , Edmonton",53.546911,-113.497237,sports,Hockey,,,https://www.ticketmaster.ca/2025-stanley-cup-final-home-game-edmonton-alberta-06-14-2025/event/1100627CC9014AED,https://s1.ticketm.net/dam/a/ddc/20f009c2-2f1f-4b0b-bef6-ae077c98eddc_SOURCE,ticketmaster,"All sales final, no refunds. **IF NECESSARY: If game is not played refunds will be processed to original purchaser using original method of payment. Rogers Place offers two food-inclusive options for all Oilers games: * The Sportsnet Club features all-inclusive food and non-alcoholic beverages with a rotating menu of enticing fan favourites. Socializing within the club is enhanced by two full-service bars. * The Sky Lounge features a full-service bar, in-seat",onsale
1Ae0ZbIGklQkxTw,Sam Lamar - Bonded By Bass - Presented By Bass Asylum,2025-06-14,21:00:00,Union Hall,"6240 - 99 Street, , Edmonton",53.498703,-113.487494,music,Dance/Electronic,,,https://www.ticketweb.ca/event/sam-lamar-bonded-union-hall-tickets/14372173?REFERRAL_ID=tmfeed,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,,onsale
1AoZkayGkdmAfgb,Calgary Surge vs. Edmonton Stingers,2025-06-19,19:30:00,Centrium at Westerner Park,"4847b 19th St., , Red Deer",52.2290042,-113.8035304,sports,Basketball,,,https://www.ticketmaster.ca/calgary-surge-vs-edmonton-stingers-red-deer-alberta-06-19-2025/event/11006279EE154D58,https://s1.ticketm.net/dam/a/ff0/7574f668-5029-4c88-90ab-9294f3683ff0_SOURCE,ticketmaster,,onsale
